unique_ID,date,tank_ID,species,time_interval,sample_type,treatment,fate,infection_load_GE,
1.1.1,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.10,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.2,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0.012133648,
1.1.3,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.4,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0.2733282,
1.1.5,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.6,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.7,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.8,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
1.1.9,04/07/17,1,Ss,initial,swab,Ss (control),euthanased,0,
10.1.1,04/07/17,10,Ss,initial,swab,random,euthanased,0,
10.1.10,04/07/17,10,Ss,initial,swab,random,euthanased,0.00812998,
10.1.2,04/07/17,10,Ss,initial,swab,random,euthanased,0,
10.1.3,04/07/17,10,Ss,initial,swab,random,euthanased,0,
10.1.4,04/07/17,10,Ss,initial,swab,random,euthanased,0.068355892,
10.1.5,04/07/17,10,Ss,initial,swab,random,euthanased,1.448213458,
10.1.6,04/07/17,10,Ss,initial,swab,random,euthanased,0,
10.1.7,04/07/17,10,Ss,initial,swab,random,euthanased,0.029015748,
10.1.8,04/07/17,10,Ss,initial,swab,random,euthanased,0.004848598,
10.1.9,04/07/17,10,Ss,initial,swab,random,euthanased,0,
11.1.1,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.10,04/07/17,11,Ss,initial,swab,random,euthanased,0.00451328,
11.1.2,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.3,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.4,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.5,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.6,04/07/17,11,Ss,initial,swab,random,euthanased,0.068264492,
11.1.7,04/07/17,11,Ss,initial,swab,random,euthanased,0,
11.1.8,04/07/17,11,Ss,initial,swab,random,euthanased,0.005091482,
11.1.9,04/07/17,11,Ss,initial,swab,random,euthanased,0,
12.1.1,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.10,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.2,04/07/17,12,Ss,initial,swab,random,euthanased,0.469891056,
12.1.3,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.4,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.5,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.6,04/07/17,12,Ss,initial,swab,random,euthanased,0.011121847,
12.1.7,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.8,04/07/17,12,Ss,initial,swab,random,euthanased,0,
12.1.9,04/07/17,12,Ss,initial,swab,random,euthanased,0,
13.1.1,04/07/17,13,Ss,initial,swab,random,euthanased,0.062004747,
13.1.10,04/07/17,13,Ss,initial,swab,random,euthanased,0.007865406,
13.1.2,04/07/17,13,Ss,initial,swab,random,euthanased,0,
13.1.3,04/07/17,13,Ss,initial,swab,random,euthanased,0,
13.1.4,04/07/17,13,Ss,initial,swab,random,euthanased,0,
13.1.5,04/07/17,13,Ss,initial,swab,random,euthanased,0.174639076,
13.1.6,04/07/17,13,Ss,initial,swab,random,euthanased,0.027621782,
13.1.7,04/07/17,13,Ss,initial,swab,random,euthanased,0.004247048,
13.1.8,04/07/17,13,Ss,initial,swab,random,euthanased,0.031770889,
13.1.9,04/07/17,13,Ss,initial,swab,random,euthanased,0.055289641,
14.1.1,04/07/17,14,Ss,initial,swab,random,euthanased,0.060254312,
14.1.10,04/07/17,14,Ss,initial,swab,random,euthanased,0,
14.1.2,04/07/17,14,Ss,initial,swab,random,euthanased,1.08732909,
14.1.3,04/07/17,14,Ss,initial,swab,random,euthanased,0,
14.1.4,04/07/17,14,Ss,initial,swab,random,euthanased,0.032106258,
14.1.5,04/07/17,14,Ss,initial,swab,random,euthanased,1.127279848,
14.1.6,04/07/17,14,Ss,initial,swab,random,euthanased,0.00918165,
14.1.7,04/07/17,14,Ss,initial,swab,random,euthanased,0.034830244,
14.1.8,04/07/17,14,Ss,initial,swab,random,euthanased,0,
14.1.9,04/07/17,14,Ss,initial,swab,random,euthanased,0.042200461,
15.1.1,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0.020052399,
15.1.10,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.2,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.3,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.4,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.5,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0.103657711,
15.1.6,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.7,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0,
15.1.8,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0.013729974,
15.1.9,04/07/17,15,Ss,initial,swab,Ss + Bs,euthanased,0.011200099,
16.1.1,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
16.1.10,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.157359391,
16.1.2,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.032073732,
16.1.3,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
16.1.4,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
16.1.5,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
16.1.6,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
16.1.7,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.019931523,
16.1.8,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.002745199,
16.1.9,04/07/17,16,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
17.1.1,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.10,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0.001571382,
17.1.2,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.3,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.4,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.5,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.6,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0.034942341,
17.1.7,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.8,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.9,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
18.1.1,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.10,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.003078532,
18.1.2,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.3,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.4,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.060882252,
18.1.5,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.005115111,
18.1.6,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.008818448,
18.1.7,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.8,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.9,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
19.1.1,04/07/17,19,Ss,initial,swab,random,euthanased,0.017095342,
19.1.10,04/07/17,19,Ss,initial,swab,random,euthanased,0.015797893,
19.1.2,04/07/17,19,Ss,initial,swab,random,euthanased,0.270268209,
